Медиана MSE,Мода лучшей итерации,Медиана времени до лучшей итерации,num_parents_mating,sol_per_pop,mutation_percent_genes,mutation_num_genes,crossover_type,mutation_type,mutation_by_replacement,random_mutation_min_val,random_mutation_max_val,num_genes
504829.8488986455,20,314.0621392726898,4,21,48.10575751371274,3,scattered,random,False,-0.07199526354600035,0.019495467376723266,6
505830.3996045874,20,853.007791519165,10,39,22.49199595767889,1,uniform,random,False,-0.02871650616306952,0.024422244714783804,6
508306.57961737685,20,307.5314586162567,2,36,8.478930095589146,1,two_points,random,False,-0.06997183062027945,0.014231408796994683,6
507262.887126959,20,160.07121634483337,2,14,36.75173888502141,2,scattered,random,False,-0.016474791007411532,0.007042085505489327,6
512044.6338486267,20,809.7943868637085,5,92,7.285863965394189,2,two_points,inversion,False,-0.02951593505990363,0.09742367633428059,6
508268.22598865296,20,429.8108401298523,6,59,32.772213231730966,1,uniform,inversion,True,-0.055903364932092484,0.020328292134804717,6
511599.7512260613,20,141.34093570709229,6,35,45.50483726680025,1,uniform,swap,True,-0.020914618614360656,0.06640934012010687,6
504819.41502187814,20,745.8811025619507,9,70,1.4729020876715122,3,uniform,random,False,-0.005014001717266792,0.09402715753596204,6
507317.45941141713,20,409.4348678588867,8,78,30.728948859915825,3,single_point,inversion,False,-0.0622229592163445,0.061309758221166855,6
508437.4096288409,20,75.18552994728088,9,20,38.93324537443369,1,two_points,inversion,True,-0.04478040036662674,0.06935815887510957,6
517175.48444908886,20,21.39414095878601,10,12,41.09818760045183,3,uniform,swap,True,-0.016963563971061718,0.08708306244500985,6
507902.8800176887,20,210.93251204490662,4,53,25.487272753583554,1,two_points,random,True,-0.0998827613799415,0.08242276009313923,6
507929.69914792106,20,196.5614845752716,5,52,19.027234821004807,3,two_points,inversion,False,-0.07487998274531449,0.08160505389371453,6
510960.8157285871,20,30.220211267471313,6,10,3.558743090962142,3,two_points,inversion,True,-0.026702682716145384,0.040197091498362675,6
507726.78159833304,20,239.9148645401001,7,91,16.32660080983915,3,scattered,swap,True,-0.04510588919351086,0.027529511624457728,6
506878.34846135584,20,365.0050437450409,10,82,43.0909359313324,3,two_points,inversion,True,-0.06523501347378691,0.026935241812803847,6
508815.4713575277,20,276.77733755111694,8,77,2.798608674815687,3,single_point,scramble,False,-0.062460233965021705,0.03931523312432461,6
510894.9744132242,20,59.28450798988342,9,20,4.382739563424297,3,two_points,inversion,False,-0.08869699405378166,0.09797655028370682,6
508767.86136892374,20,86.22274947166443,9,39,33.677088986802275,1,two_points,scramble,False,-0.06424505704640213,0.0079951924768634,6
506732.3251304073,20,149.2173364162445,9,49,38.570099649249634,2,uniform,scramble,False,-0.03482395839547393,0.059405300274878704,6
507327.7539707645,20,166.6785101890564,8,32,26.260134574341727,3,single_point,random,False,-0.09339338334553951,0.0044862704236969695,6
507422.8628216249,20,135.796231508255,7,60,25.476997503983355,1,single_point,swap,False,-0.04519687484366572,0.09102701151019067,6
506844.1280222277,20,121.34407949447632,7,47,13.449257261723982,2,single_point,swap,False,-0.012339912398846103,0.05013963628323431,6
520790.6130268771,20,23.231224298477173,8,12,24.569872544954247,3,single_point,swap,True,-0.009706218607928446,0.06850570572285489,6
503764.3558397861,20,819.3530356884003,9,98,39.254857191267014,1,two_points,random,False,-0.03410382240143127,0.016472116874972343,6
508584.41904852376,20,365.3191034793854,9,81,25.6136678294811,1,uniform,scramble,True,-0.094254861342003,0.06038689359967563,6
503582.66795546963,20,386.25923323631287,9,91,11.647298220639708,1,single_point,random,False,-0.07163179991851089,0.07766658373621332,6
513116.047910134,20,33.85727906227112,10,18,38.43000715921271,2,two_points,swap,False,-0.02677122884471575,0.025728074194766994,6
508877.5819973484,20,382.5471694469452,10,84,25.217969308742088,2,single_point,scramble,True,-0.01915596228461959,0.05712870293938277,6
507858.34173850605,20,470.7488901615143,6,96,22.331134847623677,3,two_points,inversion,True,-0.05740047638848309,0.0992619723944317,6
