Значение оптимальной функции,Оптимальная итерация,"Время до оптимальной итерации, сек"
683.4084926289565,677,90.08776307106018
683.4084926289565,677,86.16573643684387
683.4084926289565,677,103.73791241645813
683.4084926289565,677,94.55450916290283
683.4084926289565,677,90.60788655281067
683.4084926289565,677,91.91878008842468
683.4084926289565,677,98.65163326263428
683.4084926289565,677,96.8958067893982
683.4084926289565,677,101.23802351951599
683.4084926289565,677,102.62786817550659
683.4084926289565,677,107.18941688537598
683.4084926289565,677,101.77195119857788
683.4084926289565,677,98.09337830543518
683.4084926289565,677,93.45946145057678
683.4084926289565,677,88.49875259399414
683.4084926289565,677,94.83009195327759
683.4084926289565,677,107.50737738609314
683.4084926289565,677,95.76633143424988
683.4084926289565,677,95.36214923858643
683.4084926289565,677,89.90474915504456
683.4084926289565,677,103.11641240119934
683.4084926289565,677,88.84973406791687
683.4084926289565,677,85.96172404289246
683.4084926289565,677,85.82873606681824
683.4084926289565,677,96.23141932487488
683.4084926289565,677,88.9707601070404
683.4084926289565,677,95.26453566551208
683.4084926289565,677,85.98555946350098
683.4084926289565,677,76.01959991455078
683.4084926289565,677,79.9293577671051
