Median MSE,Mode Best Generation,Median Time to Best Generation,Population Size,Mutation Rate,Offspring Ratio,Mutation Strength,Mutation Percent Genes,Elite Fraction
505527.2345870158,20,6323.239205121994,328,0.23842310085847923,2.790118494442696,0.10804803706015226,0.12084740061889153,0.06742446636352967
505540.8776092234,20,6187.378838062286,431,0.2515103346378348,1.9267278586152286,0.20132552578596333,0.18549647034484615,0.11836154906014464
505816.73804501793,20,2074.5956947803497,157,0.4135230002916631,1.580338352896166,0.19039620877355592,0.18166400251600737,0.079069605751448
506245.2882369626,20,2419.5051548480988,158,0.4217155470685675,1.920762619857645,0.40248700759792977,0.19628599750434234,0.14898919587150833
508446.4645248019,30,1085.5318953990936,35,0.3770248051376479,2.8805598488455026,0.3357962418982069,0.1961658740556526,0.1451293788502615
506940.9194310475,30,1119.2631323337555,42,0.3240557793631932,2.6289669157580713,0.4259289150919149,0.133641277527421,0.18041090422686828
506929.1940395941,30,1134.8923358917236,46,0.371307798065158,2.2175605108350327,0.30898266814466513,0.17067806949425474,0.1496995259772267
508394.0935249009,30,671.5562341213226,34,0.4466402382345297,1.6066462010886453,0.40695489468437773,0.19487098642161044,0.182518223921942
507257.77417810797,30,1232.6473457813263,46,0.18698875380739863,2.589082843882348,0.38251239034379203,0.17069594812328884,0.16318067502052935
507249.5013841781,30,675.8874471187592,42,0.46850003418078157,1.5062800304633912,0.2894528232190995,0.1077899685196248,0.09720382168976158
507258.01798090106,30,743.917900800705,28,0.3874688440376073,2.933680372858483,0.38692453646169855,0.1288746116484407,0.12316878392298548
507249.4174114593,30,688.5382390022278,26,0.21201477410079514,2.745901081785763,0.2682391765228934,0.12255603522221059,0.1437023546601518
507540.77467249427,30,1803.5578918457031,48,0.29307280149764003,2.9953248301568056,0.27144709624290864,0.13031694009351996,0.11642984479628292
506628.59973337594,30,2126.44410943985,87,0.1336978746550556,2.5824679342090473,0.44379164268176996,0.13778139258953223,0.06868761453638715
508203.85050706845,30,736.7759432792664,27,0.48029356155366976,1.669710587965112,0.204821008419475,0.17780896919915726,0.17797125042983902
506958.08052161074,30,1174.5025842189789,51,0.2903538682067175,2.3458730881852423,0.3014374654745803,0.11843714864328735,0.08655726439990616
