Медиана MSE,Мода лучшей итерации,Медиана времени до лучшей итерации,Population Size,Mutation Rate,Crossover Rate,Elitism Fraction,Alpha,Mu,Sigma,Tournament Size
506394.15863764595,1,109.24890375137329,190,0.3730439882036947,0.30827273695975516,0.046000251684677786,0.31956799839721733,0.40630690586595697,0.8934446297648817,2
504367.91787105514,1,225.0409107208252,435,0.4733985476811898,0.48542658647121945,0.16006255279824777,0.49162931835317436,0.2857711344245981,0.4064985341893887,2
506993.83110383427,10,128.33010911941528,251,0.3434353474709431,0.36102488408522293,0.1516426294916203,0.5174557160665212,-0.1427146962152961,0.2799166135953271,3
504834.4586291295,20,64.81954526901245,136,0.11583148449285152,0.48082048738852606,0.07063606234450989,0.7612689477693951,0.5578446674568172,0.819441758988076,3
507611.168978604,1,111.5379364490509,405,0.2999613420017206,0.03530789466155711,0.03949532019856215,0.5293120652908987,0.9663378227958956,0.19651956310161955,4
505057.3916160087,8,177.08948945999146,463,0.2624774743850325,0.21667761525467005,0.03369036458694228,0.09413653191388838,-0.40609188044240363,0.9484722468229064,5
501951.55169971706,15,265.89822721481323,499,0.38320968846801917,0.4335404708688685,0.1634777828938902,0.7848997969846473,-0.4478067786542721,0.920014772834403,2
504285.67595772416,15,240.9735987186432,431,0.09661033521318974,0.44083294088020397,0.03267657721319279,0.6121203344278043,-0.07552078195361633,0.02916813950363404,5
502854.93996290094,3,132.3088710308075,406,0.24038278407597086,0.20774915983477574,0.07548800696986675,0.8797120350103207,0.0816041290130396,0.31959304195388133,5
506551.16289226565,17,46.564300537109375,146,0.042468078429620214,0.2759311567478032,0.05336618481831223,0.4251291930615439,0.6281526507715254,0.7827723697879656,5
507655.9167536693,1,65.41341733932495,207,0.021105273125601072,0.16245335027434474,0.16031140189640883,0.8974006044688057,-0.13519000891885424,0.8859146600371839,2
506601.4958112063,15,229.1065435409546,378,0.41285072561112146,0.44406762097167074,0.024591622499725303,0.49622976418775777,-0.9245625169291598,0.25173908171638415,5
505893.3494134035,19,77.9185528755188,138,0.19747834231029632,0.2772055830134307,0.0211449341927019,0.5733326390556495,-0.6350829605516655,0.3170031045800298,5
506442.55673737294,9,154.81106996536255,351,0.2673262290624702,0.2663664808849882,0.18932820767277267,0.5662708073485374,-0.8548362321307006,0.6990454531950754,5
505297.9003859844,1,60.65539026260376,302,0.4883232735058403,0.30467468976775186,0.09498635232270625,0.34163529248141794,0.6924696153345549,0.34311878081882907,3
507704.05541788944,6,104.02371859550476,164,0.4198662628474419,0.08891279001771225,0.03850848809789073,0.1686333556385372,-0.9438812017838019,0.8065462214149142,3
507539.91635927855,19,159.0094735622406,290,0.1741691559769936,0.134543591165353,0.012051336421542748,0.5368781057812041,0.010216146599055564,0.3699115176071698,3
506010.4495490056,1,60.16444754600525,174,0.025342162387934387,0.44976728039743064,0.16630051602472287,0.6602297454403755,-0.5452623958468443,0.5809335070452418,4
507380.95589527185,8,149.66321325302124,250,0.4609375321862327,0.3222021148572203,0.05903011840085254,0.24765725084669474,-0.5341992288879676,0.029343065194381096,5
508051.21521645895,19,50.18234848976135,210,0.317738429365933,0.23128865724780456,0.15364277415119346,0.4915721051539507,0.9269249846799137,0.2142804383181051,3
508384.0761708781,1,32.713218688964844,153,0.36486380405126684,0.05236537123804304,0.14985440372655676,0.6536267754302417,0.9862106123835572,0.09470563628409347,2
506201.6237331627,1,136.62090635299683,458,0.22525242157867761,0.03470748602463482,0.06038242092373101,0.0950751825328276,0.6926290231402719,0.7038816090752303,4
507410.0961847748,19,16.250112056732178,102,0.43128156599281664,0.27853867898138646,0.15433333846131986,0.7506855542097493,0.9631223860502733,0.26724217191527605,5
505818.7892060049,4,523.7824647426605,426,0.27598477435723756,0.4813705447353056,0.11362800276386945,0.3449084929470893,-0.14132636957299627,0.6908035529758466,3
507095.65226632037,2,276.2488179206848,275,0.13403559891159292,0.1945153274107098,0.15272298522896519,0.5841729451475753,-0.8892217248008176,0.3842967188797331,5
503756.04132699483,11,320.81581473350525,264,0.04030921022331424,0.33875981980602804,0.019256320023825352,0.3164958520814614,-0.8705381978228393,0.13923947160291947,2
504454.0545614878,15,193.34726071357727,429,0.2525156396423977,0.3371121369764841,0.051498852792080364,0.22586669822088942,0.6971461315573246,0.953444589215186,3
507561.4134115327,1,11.589091062545776,48,0.22277283191061462,0.10322918287187847,0.11655669730041457,0.2508394723840282,-0.9819946550948486,0.1835205190555146,2
507662.6433680265,18,31.331648588180542,56,0.2513911089553926,0.47717020639558844,0.09798850176623936,0.5327010963723808,0.8640209076726915,0.7412424533420695,3
