Медиана значения функции Растригина,Мода лучшей итерации,Медиана времени до лучшей итерации,num_parents_mating,sol_per_pop,num_genes,mutation_percent_genes,mutation_num_genes,crossover_type,mutation_type,mutation_by_replacement,random_mutation_min_val,random_mutation_max_val,keep_parents
0.23839467889702348,63,12.492437481880188,244,347,25,26.312041356296326,1,single_point,inversion,False,-0.8639966984572887,5.079113998324896,0.792307062375841
0.9803345588208998,34,10.643058180809021,412,412,7,9.111036287926936,4,single_point,inversion,True,-1.5959207289658863,3.030065364530902,0.17206375922093886
109.39971836735754,13,1.5200186967849731,20,247,27,25.734947483009634,3,single_point,swap,False,-3.2086501074360925,2.058985802805471,0.41945074222611023
18.99931390722635,73,3.9785269498825073,137,137,12,12.670511568364606,1,single_point,random,True,-1.8935255662228592,1.731733336824055,0.4690018209738659
50.5703040346303,57,8.532053470611572,74,390,10,31.733519810379754,5,uniform,random,True,-8.951973602557201,4.392424189328727,0.9316684626528178
61.560668984648885,86,32.13220715522766,274,439,30,44.281790232223024,[1 3],single_point,adaptive,True,-2.4955887861162385,1.4296071102182706,0.5056727996726027
10.249473120078818,100,9.47407329082489,152,152,27,13.506602348044092,2,scattered,inversion,False,-4.598705934703267,5.922851392604695,0.36672363577133493
36.991107784326346,18,2.132010579109192,58,194,24,6.614278684844203,2,two_points,swap,True,-1.1997276191746824,9.072024210927875,0.1897735689632667
1.70267800924492,98,3.986538887023926,124,124,13,8.793007767587863,1,scattered,scramble,True,-5.509492727647878,6.348952163170068,0.1977608507097507
342.0248440207319,11,7.113057374954224,218,218,30,5.252966529902142,2,single_point,random,False,-5.1342852726713115,9.680145322012685,0.8317296354070614
168.91725840212683,1,0.523004412651062,243,243,16,21.305762121616688,[3 4],uniform,adaptive,False,-6.813199510602272,1.9024437308910014,0.19137162547185582
2.654963145010857,81,7.4130717515945435,93,329,6,38.19415025305334,1,single_point,random,False,-6.766727292867415,0.43382542387584433,0.6955239460872824
27.654274479450002,1,0.07350480556488037,109,259,5,40.502246334266125,[2 3],two_points,adaptive,False,-1.0929780965479843,8.516882392667842,0.9025860585421334
178.41649256444043,25,4.915548920631409,128,128,21,2.3660122095505214,1,single_point,random,False,-6.480213602404773,0.8235705484735845,0.09712727966940415
1.4302958281306672,100,9.294098138809204,165,165,19,29.13410531599149,5,uniform,scramble,False,-7.602120953875023,7.256934752976203,0.1436721530270625
68.10626794695773,95,15.437140941619873,151,203,29,11.37093822756677,[4 1],single_point,adaptive,False,-9.14087249306662,8.29846678579852,0.8397895911126344
385.13122634537723,1,0.2785029411315918,193,193,30,42.82480845689679,5,single_point,random,False,-4.754325152215577,7.018619242497996,0.7334687216499107
0.025008950201986124,24,4.907041072845459,394,470,9,31.73263493321293,5,uniform,scramble,False,-0.34594492456875336,1.5110090006524446,0.19669361215496772
3.0983645088129066,100,4.84554398059845,119,119,16,8.606644295835675,2,single_point,inversion,True,-4.284848457647705,5.166554880943503,0.19283019809563262
0.2152482398587452,11,1.2160125970840454,129,419,6,41.71989658127049,2,uniform,inversion,False,-0.33947636348895394,0.42132537455853436,0.7937849952501169
0.042616315593591025,37,12.477115392684937,333,473,22,12.860249417822894,1,two_points,scramble,False,-2.634136181423546,2.5663998320251347,0.42480549118296174
3.5759480186059704,100,8.450579166412354,134,134,27,47.33869942976968,1,two_points,scramble,False,-0.9261708149957251,9.692229949324416,0.527520193764944
2.8900560836371483,100,5.811553597450256,128,128,16,23.912612617855338,1,single_point,inversion,False,-8.631627216866617,6.502481753637804,0.03145200251313374
16.847580933366018,92,23.47532081604004,228,465,22,49.28061718329339,[4 2],scattered,adaptive,False,-1.5931669751336202,2.1493811523995032,0.6474334520886066
22.150432884155357,92,11.544115781784058,208,416,11,33.790549666427964,2,two_points,random,False,-6.129541500271298,4.731872937293058,0.2153999189892961
121.36907918995828,67,16.878180980682373,343,389,28,2.8065040716928444,3,scattered,random,True,-1.708741817573916,8.200610944289245,0.9122704789321124
20.14624263086759,96,18.94370698928833,223,389,25,42.91830406954409,1,uniform,random,True,-8.819149479975701,5.862397680315588,0.10730774482027816
51.886930011071485,100,8.047082424163818,168,168,21,12.031767971411702,[3 1],single_point,adaptive,True,-1.7921745401968927,2.20963571155971,0.20424234846375122
94.59703568729634,2,3.2980350255966187,127,127,12,14.995674397425047,[2 3],two_points,adaptive,True,-8.925074994439058,6.086081280109942,0.7754295818334309
36.24752426697465,97,26.321786403656006,275,377,26,37.08988424054961,[3 1],single_point,adaptive,True,-6.351153342879806,7.6317870199116955,0.8701721736790421
