Медиана значения функции Растригина,Мода лучшей итерации,Медиана времени до лучшей итерации,Crossover Method,Mutation Method,Selection Method,Population Size,Mutation Rate,Crossover Rate,Elitism Fraction,Alpha,Mu,Sigma,Tournament Size
1.0,471,0.005981087684631348,cxBlend,mutUniformInt,selRandom,143,0.18196740091540445,0.4401101747933396,0.0162121459612629,0.6515706390276612,0.07973870478649125,0.4079681951131688,4
4.256420993442589e-09,500,0.011985301971435547,cxBlend,mutShuffleIndexes,selRandom,286,0.08702178250828178,0.4929623635392345,0.10062802019837783,0.14863006246379395,-0.5386522412829873,0.43878770764357633,3
0.8166786256376781,26,0.007987737655639648,cxOnePoint,mutShuffleIndexes,selRandom,203,0.46986530092836803,0.3541765255988879,0.1133570515616329,0.5767443420992827,-0.9194342166681546,0.6874134525245181,5
0.0,13,0.015990495681762695,cxOnePoint,mutFlipBit,selRandom,433,0.10751788731464815,0.4357577736066055,0.15217997428062083,0.31821440782972055,-0.8009572180909785,0.8132689883686617,5
0.0,7,0.005985140800476074,cxUniform,mutFlipBit,selBest,161,0.28020879198193743,0.3478449593206354,0.16388441002306692,0.23213864621319721,0.5187111580072903,0.2624888575871023,5
0.0,11,0.005991935729980469,cxOnePoint,mutFlipBit,selTournament,175,0.2716931466227144,0.21071973798115284,0.043822466274201805,0.6719492134102555,0.16277619716909175,0.18540249391130362,5
2.0916268521025856,487,0.019001007080078125,cxOnePoint,mutGaussian,selRoulette,463,0.1057073386384795,0.3392286399169244,0.015787244082096613,0.7797863062302539,0.08268146451534619,0.25833931719258046,2
0.0,23,0.005989551544189453,cxBlend,mutFlipBit,selRoulette,169,0.2116754131166369,0.2160349129514987,0.06600354759847468,0.6121351198102292,0.13040575891597883,0.2845891467668757,3
0.0,7,0.004990577697753906,cxOnePoint,mutFlipBit,selRoulette,148,0.3653972478137425,0.15332961845361948,0.11323871008073931,0.8550504034240747,0.07121436989970698,0.18857361441080212,3
0.0,6,0.014991521835327148,cxOnePoint,mutFlipBit,selBest,394,0.34550069456311344,0.07976627971943107,0.1295254159463606,0.38768860204331523,0.8040369102022655,0.9282526928263674,4
0.0,7,0.010490894317626953,cxTwoPoint,mutFlipBit,selBest,281,0.3765234413824271,0.12536636072162022,0.10824484004502763,0.7554894621249938,-0.14948021908036968,0.5156976984587415,2
6.961544455919011e-05,500,0.007987141609191895,cxBlend,mutShuffleIndexes,selTournament,199,0.4043053126206177,0.22956776718933605,0.11149644909487608,0.6431374897843253,-0.7053758370593481,0.1659792632290268,5
0.0,9,0.004994750022888184,cxUniform,mutFlipBit,selRandom,150,0.29435826391004827,0.08193597532141728,0.17886919409991794,0.4283308425047511,-0.9613056452030158,0.3028469580010763,3
0.007551031522844198,498,0.011992454528808594,cxUniform,mutGaussian,selRoulette,288,0.2197962826565446,0.2703016518064102,0.17583145028983005,0.47913806674000886,0.07649050556481107,0.7162875848588166,3
0.012728024686651906,463,0.013993382453918457,cxOnePoint,mutGaussian,selBest,331,0.21847507887768003,0.39213267865121265,0.14306677433734755,0.14447786979100927,-0.45427471178775036,0.9397298192963222,4
0.0,276,0.007993459701538086,cxBlend,mutShuffleIndexes,selBest,193,0.4463435213225111,0.3967201294524969,0.024583067632736696,0.43223819450046297,0.9759485923270503,0.40980171135202,3
0.0,4,0.010992050170898438,cxUniform,mutFlipBit,selTournament,279,0.4110901452827104,0.11457129671115977,0.015680626183055848,0.5682877171095557,-0.5599236473792062,0.14833423597685688,3
9.312861655330536,497,0.01599597930908203,cxBlend,mutGaussian,selRandom,376,0.24396657024745957,0.12465911194207231,0.1305196044291721,0.1342869523291751,0.8314537422782897,0.5076776086853313,2
0.0,194,0.013982415199279785,cxOnePoint,mutUniformInt,selRandom,369,0.029703955433551518,0.2424198239122294,0.08988667958523341,0.8514849259257312,0.9007879232088591,0.9973259115789872,4
0.52087317695905,45,0.017992377281188965,cxUniform,mutShuffleIndexes,selBest,458,0.19389355065626537,0.2365617884374164,0.16989013001835873,0.22266035824530647,-0.8788778239653454,0.4467380342470252,4
0.0,2,0.016979098320007324,cxOnePoint,mutFlipBit,selRandom,433,0.43039721716285084,0.4990780538737383,0.08430924403696215,0.6777347390970149,-0.6641847821945885,0.313527586182985,5
0.0,31,0.014977097511291504,cxTwoPoint,mutUniformInt,selRandom,373,0.3215114032503177,0.423757011834801,0.06375718629818984,0.18565217534684822,-0.13436680695747105,0.19715937036656042,3
5.333388574358693,421,0.010981559753417969,cxOnePoint,mutGaussian,selRandom,261,0.42797641174502177,0.2488739563830434,0.17359327433616845,0.3028434000440342,-0.29036180217956686,0.32994696681436114,4
0.0,32,0.011994600296020508,cxUniform,mutUniformInt,selRoulette,331,0.20433378088196186,0.37459024097854754,0.13790417882305328,0.8225173542978929,-0.9266248400691022,0.978112852771909,4
0.0,6,0.01697671413421631,cxOnePoint,mutFlipBit,selRandom,448,0.2441069303083575,0.40556443265857656,0.18192454731052307,0.5518144682969174,-0.13967188589733426,0.4750497460357434,3
0.0,11,0.00998079776763916,cxUniform,mutFlipBit,selTournament,282,0.14198596348658113,0.21042406247346757,0.1174752449347893,0.8689698493661994,0.18251993737715044,0.968006875645525,4
0.0,209,0.00997471809387207,cxOnePoint,mutUniformInt,selBest,273,0.03136770403447874,0.13667791081153713,0.10363676213205712,0.699701520307144,0.9913137767775015,0.18797271412062452,2
1.8670485771525591,73,0.017993688583374023,cxUniform,mutShuffleIndexes,selBest,482,0.041792191026864794,0.16309235770623734,0.12061042689324433,0.03648006380274758,-0.6088414793741994,0.043691192656776165,4
