Latitude,Longitude,Year Built,Beds,Baths,buildingSize,lotSize,PostalCode,Price
29.741993,-95.520309,0.0,2.0,2.0,1111.0,0.0,77063,1879.0
29.988178,-95.480949,0.0,2.0,2.0,1052.0,0.0,77014,1430.0
29.66773,-95.55438,1980.0,1.0,1.0,543.0,0.0,77036,769.0
29.724553,-95.413335,1935.0,2.0,1.0,1564.0,5998.0,77005,2450.0
29.74297,-95.416756,0.0,1.0,1.0,720.0,0.0,77098,1200.0
29.904346,-95.463829,2009.0,3.0,2.0,1252.0,4879.0,77038,1850.0
29.6716,-95.53308,0.0,1.0,1.0,660.0,0.0,77031,850.0
29.795574,-95.696999,0.0,3.0,2.0,1341.0,0.0,77084,2225.0
29.754267,-95.361397,0.0,2.0,2.0,1575.0,0.0,77010,4549.0
29.73677,-95.52921,0.0,1.0,1.0,714.0,0.0,77063,755.0
29.782404,-95.447212,0.0,1.0,1.0,617.0,0.0,77024,1200.0
29.748502,-95.576963,1978.0,3.0,3.0,3100.0,10738.0,77077,3600.0
29.688262,-95.329535,2023.0,3.0,2.0,1200.0,6573.0,77033,1800.0
29.688725,-95.442039,0.0,1.0,1.0,735.0,0.0,77025,1020.0
29.936336,-95.627072,1976.0,3.0,2.0,1990.0,7802.0,77065,1900.0
29.731125,-95.389252,2016.0,2.0,3.0,1760.0,0.0,77006,3103.0
29.666675,-95.470383,1955.0,3.0,2.0,2032.0,13055.0,77096,2300.0
29.916052,-95.492775,0.0,2.0,1.0,803.0,0.0,77086,1296.0
29.748025,-95.333315,1949.0,1.0,1.0,720.0,5001.0,77003,1200.0
29.73486,-95.49388,1969.0,0.0,1.0,564.0,0.0,77057,707.0
29.661304,-95.590765,1982.0,2.0,2.0,1108.0,4805.0,77477,1350.0
29.74564,-95.343971,1930.0,1.0,1.0,800.0,116323.0,77003,1550.0
29.976807,-95.426445,0.0,1.0,1.0,1082.0,0.0,77090,1054.0
29.750316,-95.383399,2000.0,2.0,3.0,2130.0,2605.0,77006,2800.0
29.753538,-95.382187,0.0,2.0,2.0,1049.0,0.0,77019,2290.0
29.799487,-95.388186,1940.0,1.0,1.0,780.0,5602.0,77008,1350.0
29.694898,-95.52983,1966.0,3.0,2.0,1675.0,8050.0,77036,2200.0
29.661974,-95.50808,0.0,1.0,1.0,700.0,0.0,77096,949.0
29.72128,-95.38516,0.0,1.0,1.0,686.0,0.0,77004,1440.0
29.739481,-95.419098,0.0,1.0,1.0,776.0,0.0,77098,2441.0
29.91569,-95.666491,0.0,3.0,3.0,1540.0,0.0,77095,1695.0
29.773482,-95.373269,2006.0,3.0,4.0,2517.0,1529.0,77007,3150.0
29.710768,-95.519409,0.0,3.0,2.0,1250.0,0.0,77036,1255.0
29.764805,-95.401016,0.0,1.0,1.0,792.0,0.0,77007,2360.0
29.678523,-95.550102,1979.0,1.0,1.0,738.0,128702.0,77036,780.0
29.658714,-95.473306,1962.0,4.0,4.0,2580.0,8956.0,77035,3200.0
29.735138,-95.44062,0.0,1.0,1.0,721.0,0.0,77027,1544.0
29.934715,-95.664197,2001.0,5.0,4.0,3554.0,8400.0,77095,3450.0
29.765919,-95.390732,0.0,1.0,1.0,756.0,0.0,77007,1492.0
29.727684,-95.49662,0.0,1.0,1.0,790.0,0.0,77057,1039.0
29.722647,-95.469322,0.0,1.0,1.0,733.0,0.0,77081,1235.0
29.757405,-95.598189,1972.0,4.0,3.0,2580.0,11931.0,77077,3800.0
29.805568,-95.385218,1919.0,2.0,2.0,1214.0,5001.0,77009,2400.0
29.72787,-95.366811,1930.0,2.0,1.0,1743.0,5776.0,77004,1375.0
29.752576,-95.367741,0.0,1.0,1.0,761.0,0.0,77002,1480.0
29.735944,-95.386277,1980.0,2.0,2.0,1252.0,6500.0,77006,1895.0
29.716335,-95.610641,1983.0,2.0,1.0,780.0,311890.0,77082,1045.0
29.758299,-95.622902,0.0,2.0,2.0,1040.0,0.0,77077,1766.0
29.77594,-95.384483,0.0,1.0,1.0,740.0,0.0,77007,1393.0
29.566009,-95.150066,1978.0,4.0,2.0,1784.0,6599.0,77598,2100.0
29.685434,-95.566376,0.0,2.0,1.0,868.0,0.0,77072,917.0
