Latitude,Longitude,Year Built,Beds,Baths,buildingSize,lotSize,PostalCode,Price
29.76055,-95.362724,0.0,0.0,1.0,484.0,0.0,77002,1736.0
29.76055,-95.362724,0.0,0.0,1.0,540.0,0.0,77002,1479.0
29.76055,-95.362724,0.0,0.0,1.0,526.0,0.0,77002,1984.0
29.76055,-95.362724,0.0,0.0,1.0,508.0,0.0,77002,1408.0
29.750557,-95.364281,0.0,0.0,1.0,611.0,0.0,77002,1599.0
29.76055,-95.362724,0.0,0.0,1.0,1105.0,0.0,77002,1538.0
29.751829,-95.368324,0.0,0.0,1.0,616.0,0.0,77002,1379.0
29.751829,-95.368332,0.0,0.0,1.0,616.0,0.0,77002,1331.0
29.739386,-95.379333,0.0,0.0,1.0,512.0,0.0,77002,1209.0
29.751829,-95.368332,0.0,0.0,1.0,627.0,0.0,77002,1369.0
29.739386,-95.379333,0.0,0.0,1.0,557.0,0.0,77002,1354.0
29.739386,-95.379333,0.0,0.0,1.0,467.0,0.0,77002,1264.0
29.750557,-95.364281,0.0,0.0,1.0,769.0,0.0,77002,1599.0
29.737803,-95.38073,0.0,0.0,1.0,621.0,0.0,77002,1369.0
29.74991,-95.376244,0.0,0.0,1.0,650.0,0.0,77002,1255.0
29.751059,-95.368912,0.0,0.0,1.0,586.0,0.0,77002,1232.0
29.74991,-95.376244,0.0,0.0,1.0,655.0,0.0,77002,1388.0
29.74991,-95.376244,0.0,0.0,1.0,697.0,0.0,77002,1570.0
29.73938,-95.3795,2016.0,0.0,1.0,467.0,0.0,77002,1116.0
29.762394,-95.363625,0.0,0.0,1.0,628.0,0.0,77002,1767.0
29.752489,-95.373001,1972.0,0.0,1.0,646.0,64120.0,77002,1775.0
29.749401,-95.367897,2016.0,0.0,1.0,642.0,0.0,77002,1530.0
29.749401,-95.367897,2016.0,0.0,1.0,644.0,0.0,77002,1605.0
29.749298,-95.367801,2016.0,0.0,1.0,644.0,0.0,77002,1615.0
29.749401,-95.367897,2016.0,0.0,1.0,577.0,0.0,77002,1460.0
29.749401,-95.367897,2016.0,0.0,1.0,525.0,0.0,77002,1342.0
29.749298,-95.367801,2016.0,0.0,1.0,525.0,0.0,77002,1467.0
29.749401,-95.367897,2016.0,0.0,1.0,569.0,0.0,77002,1403.0
29.754046,-95.37556,0.0,0.0,1.0,548.0,0.0,77002,1219.0
29.740911,-95.378372,0.0,0.0,1.0,558.0,0.0,77002,1714.0
29.757227,-95.358978,2017.0,0.0,1.0,793.0,0.0,77002,1970.0
29.757227,-95.358978,2017.0,0.0,1.0,591.0,0.0,77002,1725.0
29.749228,-95.371698,1965.0,0.0,1.0,283.0,31564.0,77002,1100.0
29.752489,-95.373001,1972.0,0.0,1.0,589.0,64120.0,77002,1610.0
29.750877,-95.370409,0.0,0.0,1.0,569.0,0.0,77002,1475.0
29.75137,-95.36778,1966.0,0.0,1.0,252.0,0.0,77002,983.0
29.752491,-95.373001,0.0,0.0,1.0,589.0,0.0,77002,1610.0
