Значение оптимальной функции,Оптимальная итерация,"Время до оптимальной итерации, сек"
44.13712864030815,483,82.42927980422974
44.13712864030815,483,78.66039729118347
44.13712864030815,483,87.74020099639893
44.13712864030815,483,83.72770810127258
44.13712864030815,483,100.43988347053528
44.13712864030815,483,92.2454948425293
44.13712864030815,483,85.15174293518066
44.13712864030815,483,90.28387141227722
44.13712864030815,483,95.52561926841736
44.13712864030815,483,94.72178435325623
44.13712864030815,483,93.38930821418762
44.13712864030815,483,103.27249550819397
44.13712864030815,483,98.91032576560974
44.13712864030815,483,100.85096955299377
44.13712864030815,483,103.48141193389893
44.13712864030815,483,85.29972457885742
44.13712864030815,483,90.6844494342804
44.13712864030815,483,87.51773953437805
44.13712864030815,483,93.91721606254578
44.13712864030815,483,109.99176621437073
44.13712864030815,483,89.07073664665222
44.13712864030815,483,87.72909879684448
44.13712864030815,483,93.5744149684906
44.13712864030815,483,96.0127203464508
44.13712864030815,483,84.47470831871033
44.13712864030815,483,83.65470099449158
44.13712864030815,483,83.0716917514801
44.13712864030815,483,95.14342951774597
44.13712864030815,483,87.39788174629211
44.13712864030815,483,89.71532082557678
