Медиана значения функции Швефеля,Мода лучшей итерации,Медиана времени до лучшей итерации,Crossover Method,Mutation Method,Selection Method,Population Size,Mutation Rate,Crossover Rate,Elitism Fraction,Alpha,Mu,Sigma,Tournament Size
480.08766434633844,500,6.3956602811813354,cxBlend,mutUniformInt,selRoulette,170,0.01989457490467563,0.1455644934665419,0.020869341283684367,0.27354566614969456,0.7634141828225995,0.883222490352636,3
3.0862336760606013,31,0.39749813079833984,cxUniform,mutShuffleIndexes,selRandom,165,0.31398498376832873,0.3810395827594834,0.10041606080437511,0.15872985780632554,-0.510370187106856,0.6579140908379905,5
0.00012727566172543447,236,5.812943816184998,cxBlend,mutShuffleIndexes,selRoulette,350,0.3008871413608052,0.47936136693223946,0.12151023062338719,0.4232036840674368,-0.9827629186380491,0.8736860986808554,4
1897.4549765301924,23,0.5350139141082764,cxUniform,mutFlipBit,selBest,381,0.0630073558003617,0.03428119006976253,0.188923753636949,0.7384835630517146,-0.2960026489162322,0.10275288973334958,5
2144.773691147746,500,5.817043304443359,cxBlend,mutFlipBit,selRoulette,197,0.013303586909216882,0.4511089719628267,0.1638149405054333,0.4113637960629671,0.49419242652556306,0.1898382643981691,5
425.75874258605745,30,0.7425079345703125,cxUniform,mutFlipBit,selBest,351,0.13360402390953846,0.21619992480527278,0.14306647102721556,0.525620520681559,-0.6072129372371777,0.7578620940594895,4
1252.9182970451936,27,0.9130072593688965,cxTwoPoint,mutFlipBit,selRandom,415,0.3134359524372551,0.10447641794565052,0.08456973633757062,0.7342555694871905,0.5862010424623638,0.3996267950415756,5
82.73430546968075,456,4.351545333862305,cxUniform,mutUniformInt,selBest,160,0.38431186505177606,0.06637321794618603,0.15241054530532777,0.7778839306038952,0.8582888325248945,0.049088331494355944,2
773.604818570476,36,0.8015097379684448,cxUniform,mutFlipBit,selBest,364,0.4374863560855156,0.38009697195473985,0.06810301999052011,0.5013345497063677,0.8320326572784709,0.04528714847895123,4
1944.3064780534312,13,0.17500174045562744,cxOnePoint,mutFlipBit,selRoulette,267,0.46638785753022227,0.4891426406096069,0.017226462111970667,0.700503639073017,-0.5326603402504935,0.06549786502647027,4
561.1771226893784,500,13.946041345596313,cxUniform,mutGaussian,selRoulette,417,0.2017593586879131,0.03423342160424744,0.013096156107320449,0.22872725963795876,-0.5131563187187791,0.5614639684543647,2
315.8077332194298,499,3.1605366468429565,cxOnePoint,mutUniformInt,selRandom,112,0.30753761557874293,0.012321124972845798,0.03759178732147142,0.20541647316434533,-0.1789167421202451,0.43897778372537466,5
1.0148302127058741,33,1.1377750635147095,cxUniform,mutShuffleIndexes,selTournament,416,0.4034984858983149,0.3182469071967135,0.10437480169209154,0.4966768242400739,0.4685358907033159,0.09027316622575446,2
65.44332776655301,500,17.359111189842224,cxUniform,mutGaussian,selRandom,299,0.14546382061334692,0.48553918304908933,0.10013789126762027,0.08866973923741281,-0.14967042828361854,0.13292890258509352,2
1671.6522104352737,22,0.6580895185470581,cxOnePoint,mutFlipBit,selBest,221,0.42639389027647645,0.4204728752745451,0.04559311842220968,0.6863664641025676,-0.25801575830827894,0.3070674061716027,2
2.609877540585785,449,18.11166477203369,cxOnePoint,mutUniformInt,selRoulette,387,0.19588904974686402,0.14286800311449116,0.06939376776501854,0.6947089911211003,0.6650017472770975,0.8292563792135946,2
1620.2475663192977,500,9.174081206321716,cxBlend,mutGaussian,selRoulette,179,0.269543087677226,0.28011614861722134,0.1337760932528209,0.8086517020013698,-0.024674590937081797,0.18639246954198535,2
236.8867752019155,439,8.080068349838257,cxTwoPoint,mutGaussian,selTournament,174,0.4915480187993641,0.27346535062469196,0.19926933646288894,0.6390902352967265,-0.4469612552217883,0.767812258007942,3
0.00030232343033276265,491,32.69032323360443,cxTwoPoint,mutGaussian,selRoulette,499,0.2981821096132092,0.3178746840166386,0.03342020059157734,0.08071894593837867,0.0008192161788391772,0.49109139123831674,5
894.810290761962,37,1.6445107460021973,cxTwoPoint,mutFlipBit,selRandom,282,0.47305212724954004,0.26230135306215624,0.18168098533596388,0.258111797034243,0.565134771870571,0.6394764165214938,2
2385.157349209265,1,0.17150580883026123,cxBlend,mutFlipBit,selRoulette,166,0.46322286285301106,0.3326843224716275,0.09831773918817006,0.6528614300173557,0.04364154528426911,0.341893090633725,4
693.7745198265654,499,5.959049582481384,cxOnePoint,mutGaussian,selTournament,123,0.05899315943323107,0.37626358284364125,0.14034934725539533,0.49360683990544074,-0.6979971835686951,0.3464179897070573,3
5.024228661608049,35,0.5544966459274292,cxUniform,mutShuffleIndexes,selRoulette,116,0.23654961717751533,0.3453084799659343,0.030386969616216793,0.6132335805301757,-0.28894072596144404,0.7336968163770187,4
3.6336068015671117,44,1.9135122299194336,cxOnePoint,mutShuffleIndexes,selBest,374,0.1571654787241206,0.4233964847998658,0.042155204688246434,0.28246814864521924,-0.6933406998235383,0.21122576522692932,2
1246.6627347815156,499,16.46715497970581,cxBlend,mutGaussian,selRandom,254,0.3853645197262407,0.3294444443170211,0.13069660680439832,0.7609868314882794,-0.1765412748890074,0.45455585433629775,5
399.77413963734307,500,16.796162128448486,cxTwoPoint,mutGaussian,selRoulette,265,0.15439621674851117,0.22942639781144725,0.1740475926070331,0.10678110828270086,0.48226438184761555,0.6305113777814202,4
44.026124790903395,48,1.50301194190979,cxUniform,mutShuffleIndexes,selTournament,206,0.2261957657193841,0.02992994345131785,0.11139605980907266,0.3799265902324025,-0.24559876946010295,0.5458167845593642,2
